identity,level,count,perc,eth,gen,year,perc_total
male_black,sales_service_admin,96,2.564102564102564,bla,man,2018,1.5643587913395194
male_lat_other_more,Leadership,846,5.041115480872363,oth,man,2018,5.583809183916251
male_lat_other_more,Prof_tech,2663,5.699670390822311,oth,man,2018,5.583809183916251
male_lat_other_more,sales_service_admin,246,6.570512820512821,oth,man,2018,5.583809183916251
male_nat_am,Leadership,40,0.2383506137528304,nat,man,2018,0.18290506780870808
male_nat_am,Prof_tech,73,0.15624331150207613,nat,man,2018,0.18290506780870808
male_nat_am,sales_service_admin,10,0.2670940170940171,nat,man,2018,0.18290506780870808
male_white,Leadership,6223,37.08139673459659,whi,man,2018,36.93046633357126
male_white,Prof_tech,17679,37.8387055348658,whi,man,2018,36.93046633357126
male_white,sales_service_admin,933,24.919871794871796,whi,man,2018,36.93046633357126
fem_asian,Leadership,2652,13.77877071751442,asi,woman,2019,13.164319961541867
fem_asian,Prof_tech,7265,13.203569416425859,asi,woman,2019,13.164319961541867
fem_asian,sales_service_admin,489,10.236550136068661,asi,woman,2019,13.164319961541867
fem_black,Leadership,297,1.54309762560399,bla,woman,2019,1.2309132541399421
fem_black,Prof_tech,510,0.926885120767679,bla,woman,2019,1.2309132541399421
fem_black,sales_service_admin,166,3.4749842997697304,bla,woman,2019,1.2309132541399421
fem_lat_other_more,Leadership,764,3.9694497843819816,oth,woman,2019,3.2309891583488306
fem_lat_other_more,Prof_tech,1362,2.4753284989913307,oth,woman,2019,3.2309891583488306
fem_lat_other_more,sales_service_admin,428,8.959598074105086,oth,woman,2019,3.2309891583488306
fem_nat_am,Leadership,26,0.13508598742661193,nat,woman,2019,0.1138563133325743
fem_nat_am,Prof_tech,40,0.07269687221707287,nat,woman,2019,0.1138563133325743
fem_nat_am,sales_service_admin,24,0.5024073686414068,nat,woman,2019,0.1138563133325743
fem_white,Leadership,3878,20.148594586169274,whi,woman,2019,13.872759244500108
fem_white,Prof_tech,5412,9.835886810969958,whi,woman,2019,13.872759244500108
fem_white,sales_service_admin,1676,35.08478124345824,whi,woman,2019,13.872759244500108
male_asian,Leadership,3534,18.36130306021718,asi,man,2019,26.049059420344854
male_asian,Prof_tech,16788,30.51087726950548,asi,man,2019,26.049059420344854
male_asian,sales_service_admin,269,5.6311492568557675,asi,man,2019,26.049059420344854
male_black,Leadership,359,1.8652257494674493,bla,man,2019,1.7571824357660633
male_black,Prof_tech,906,1.6465841557167002,bla,man,2019,1.7571824357660633
male_black,sales_service_admin,124,2.595771404647268,bla,man,2019,1.7571824357660633
male_lat_other_more,Leadership,1010,5.2475710500337716,oth,man,2019,5.84462408440548
male_lat_other_more,Prof_tech,3298,5.993857114297657,oth,man,2019,5.84462408440548
male_lat_other_more,sales_service_admin,312,6.5312957923382875,oth,man,2019,5.84462408440548
male_nat_am,Leadership,45,0.23380267054605913,nat,man,2019,0.17837489088769973
male_nat_am,Prof_tech,81,0.14721116623957253,nat,man,2019,0.17837489088769973
male_nat_am,sales_service_admin,15,0.3140046054008792,nat,man,2019,0.17837489088769973
male_white,Leadership,6682,34.71709876863927,whi,man,2019,34.557921236732575
male_white,Prof_tech,19361,35.187103574868686,whi,man,2019,34.557921236732575
male_white,sales_service_admin,1274,26.669457818714676,whi,man,2019,34.557921236732575
fem_asian,Leadership,2842,13.497340425531915,asi,woman,2020,13.548649656903198
fem_asian,Prof_tech,8637,13.92099028093419,asi,woman,2020,13.548649656903198
fem_asian,sales_service_admin,506,9.440298507462687,asi,woman,2020,13.548649656903198
fem_black,Leadership,342,1.624240121580547,bla,woman,2020,1.456041782068529
fem_black,Prof_tech,751,1.2104508163692922,bla,woman,2020,1.456041782068529
fem_black,sales_service_admin,195,3.6380597014925375,bla,woman,2020,1.456041782068529
fem_lat_other_more,Leadership,813,3.861132218844985,oth,woman,2020,3.315660362427791
fem_lat_other_more,Prof_tech,1659,2.673951936560128,oth,woman,2020,3.315660362427791
fem_lat_other_more,sales_service_admin,461,8.600746268656717,oth,woman,2020,3.315660362427791
fem_nat_am,Leadership,35,0.16622340425531915,nat,woman,2020,0.11304672221028951
fem_nat_am,Prof_tech,38,0.061247844237061394,nat,woman,2020,0.11304672221028951
fem_nat_am,sales_service_admin,27,0.503731343283582,nat,woman,2020,0.11304672221028951
fem_white,Leadership,4128,19.6048632218845,whi,woman,2020,13.640217501893531
fem_white,Prof_tech,6139,9.894750415034734,whi,woman,2020,13.640217501893531
fem_white,sales_service_admin,1799,33.5634328358209,whi,woman,2020,13.640217501893531
male_asian,Leadership,3957,18.792743161094226,asi,man,2020,26.079878813913794
male_asian,Prof_tech,18806,30.31123575584675,asi,man,2020,26.079878813913794
male_asian,sales_service_admin,307,5.727611940298508,asi,man,2020,26.079878813913794
male_black,Leadership,450,2.137158054711246,bla,man,2020,2.1343221153302663
male_black,Prof_tech,1264,2.037296713569621,bla,man,2020,2.1343221153302663
male_black,sales_service_admin,174,3.2462686567164183,bla,man,2020,2.1343221153302663
